id;avgInc;incY1;incY2;incY3;incY4;incY5;pass
868;4027.54;2112.19;2892.38;5360.03;0.00;0.00;66.70
869;2826.96;893.12;790.23;2030.51;3363.02;4094.76;80.00
870;4477.24;2342.32;2881.26;3607.08;4214.57;5741.22;60.00
871;3311.99;1675.26;2347.00;3016.76;3367.87;3677.41;47.40
872;3813.14;2242.32;2691.16;2676.20;3912.80;4472.50;42.90
873;2629.97;1176.41;1727.74;2059.42;2880.85;4153.94;42.30
874;3522.97;1341.72;1594.20;2684.72;3589.14;4376.32;72.20
875;2926.28;1351.79;1272.87;2288.10;3326.53;3545.44;57.10
877;3908.27;2315.91;1755.21;2477.39;4058.81;4999.97;86.70
878;6346.19;3770.84;4763.34;6969.39;6753.03;7352.48;79.20
879;3029.99;2296.82;3671.97;0.00;0.00;0.00;22.20
880;5300.85;2606.05;3411.38;4395.55;5260.39;6680.25;81.20
881;4496.01;2432.66;3052.49;3185.07;4197.60;5715.02;67.30
882;3401.40;3456.16;2921.58;0.00;0.00;0.00;48.60
883;4132.79;1444.34;1469.58;3132.90;3861.90;4634.08;82.10
884;3372.10;1485.27;1609.66;2287.51;3563.41;5022.95;45.00
885;5075.83;3271.55;3745.45;4654.40;5398.77;6436.24;88.90
886;4093.18;3644.62;3983.88;0.00;0.00;0.00;36.40
887;5064.28;1247.63;1752.11;4590.98;6357.56;0.00;93.30
890;5126.64;3704.34;4210.17;4614.71;5776.11;6851.30;51.00
891;2821.94;2464.13;3500.80;0.00;0.00;0.00;8.30
892;4499.97;2479.34;3258.48;3354.95;5181.97;6376.43;52.90
893;3908.27;2315.91;1755.21;2477.39;4058.81;4999.97;86.70
894;4499.97;2479.34;3258.48;3354.95;5181.97;6376.43;52.90
895;3670.67;1571.04;2852.92;2532.66;3752.27;4392.62;70.00
896;5790.83;3965.28;3609.61;6451.25;6094.06;6905.89;29.00
897;3761.85;2064.26;1659.48;2554.94;3761.87;4808.25;42.30
898;3827.30;1628.97;2748.42;2673.41;3828.19;5641.18;52.00
899;4174.59;1399.85;1982.05;4186.08;5308.84;0.00;42.90
900;3497.48;2728.02;3555.72;1633.55;3511.30;3736.57;36.40
901;2214.81;0.00;0.00;1568.65;1769.14;3233.68;45.00
904;4499.97;2479.34;3258.48;3354.95;5181.97;6376.43;52.90
906;4881.38;2550.16;3251.48;3576.31;5087.09;6414.29;75.00
907;4775.39;1579.17;1964.77;3092.88;4564.31;5914.79;51.50
909;5066.29;5156.59;6042.25;0.00;0.00;0.00;33.30
910;4098.07;2107.20;3494.12;3714.59;4363.95;5424.59;50.00
911;4207.65;2173.13;2942.94;3498.48;5343.86;6229.22;58.30
912;4364.20;2135.48;2823.37;3503.94;5438.92;0.00;87.90
913;4306.62;2647.59;3723.80;4202.03;0.00;0.00;42.30
914;4141.89;2821.55;4363.44;0.00;0.00;0.00;66.70
916;3087.79;1494.21;1746.01;2311.93;3351.37;3720.84;64.70
917;4775.39;1579.17;1964.77;3092.88;4564.31;5914.79;51.50
919;3640.95;1232.03;2133.95;2881.36;3814.46;4822.28;52.60
920;5063.28;3907.52;5969.94;0.00;0.00;0.00;23.10
921;3258.32;1722.19;2131.36;2419.03;3401.23;4093.10;46.40
922;4054.83;3098.11;3581.85;0.00;0.00;0.00;41.70
923;3298.77;1479.25;1593.79;2058.67;3118.43;4112.07;51.90
924;4827.18;3481.16;4095.45;0.00;0.00;0.00;60.00
925;0.00;0.00;0.00;0.00;0.00;0.00;0.00
926;3132.26;2395.59;2535.18;2975.11;3051.79;3529.57;81.80
927;3411.66;1598.70;1458.39;2355.45;3492.36;5164.02;45.50
928;4424.24;2976.26;3744.39;4876.26;0.00;0.00;88.10
929;5108.97;0.00;0.00;3920.65;4999.44;7017.13;87.50
930;3551.32;1989.31;2355.36;3220.23;3627.83;4649.54;72.30
931;4899.37;4496.83;5298.35;0.00;0.00;0.00;46.30
932;3222.86;1343.97;1537.26;2102.07;3190.84;4126.94;78.40
933;4696.75;3175.77;3583.26;3643.71;4727.48;5921.01;68.90
934;2551.74;1350.66;1428.05;2343.06;2675.52;2891.57;57.10
935;4805.69;2209.27;2649.81;3782.61;5088.13;5987.01;69.60
937;3961.21;2679.64;3379.75;3794.69;4262.50;4621.42;56.20
938;4711.02;2210.91;3502.04;4559.63;5901.42;0.00;72.30
939;3154.53;1558.54;1324.02;2376.96;3681.96;4506.96;50.70
940;3984.89;1326.96;2039.42;2811.90;3341.37;5484.27;61.50
941;3663.32;3136.47;0.00;0.00;0.00;0.00;0.00
942;3075.14;3506.04;2426.36;2162.25;3335.90;4289.55;41.20
943;5267.18;2996.71;3801.99;5046.36;6268.71;7089.93;0.00
944;3298.02;1364.60;1424.31;2114.20;3449.82;4654.18;54.10
945;4348.53;0.00;2017.22;3564.59;4106.43;5761.62;66.70
946;2781.40;1078.62;1528.12;2237.90;3090.92;3501.38;80.00
947;3844.99;2108.96;2573.72;2958.96;4235.03;5045.89;45.30
951;3626.17;1677.68;2393.87;2898.81;3884.31;4796.29;74.30
952;2964.44;1653.44;2548.39;2195.49;2776.02;3600.46;54.50
953;3927.65;1854.66;2388.10;3486.88;4579.01;5179.86;78.60
954;3373.73;2786.31;3373.40;0.00;0.00;0.00;60.60
955;4745.40;2129.07;2787.19;4711.38;4810.13;6235.81;68.20
